mana,cardtype,artist,name,rarity
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      155 cards
    ",,,
,,,,
1W,Creature — Human Knight 3/1,Kekai Kotaki,Accorder Paladin,Uncommon
W,Creature — Human Soldier 1/1,Mike Bierek,Ardent Recruit,Common
3WW,Instant,James Ryman,Banishment Decree,Common
2W,Instant,Scott Chou,Choking Fumes,Uncommon
1W,Instant,Terese Nielsen,Divine Offering,Common
3W,Instant,Scott Chou,Frantic Salvage,Common
2W,Creature — Hound 2/1,Matt Cavotta,Gore Vassal,Uncommon
2WW,Creature — Human Knight 3/4,Austin Hsu,Hero of Bladehold,Mythic Rare
5WW,Creature — Cat Soldier 4/6,Anthony Francisco,Kemba's Legion,Uncommon
WW,Creature — Cat Cleric 2/2,Greg Staples,Leonin Relic-Warder,Uncommon
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      284 cards
    ",,,
,,,,
3W,Creature — Griffin 2/2,Jaime Jones,Abbey Griffin,Common
4W,Creature — Angel 4/4,Howard Lyon,Angel of Flight Alabaster,Rare
3WW,Creature — Angel 5/3,Jason Chan,Angelic Overseer,Mythic Rare
1W,Creature — Human Cleric 1/2,Greg Staples,Avacynian Priest,Common
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      248 cards
    ",,,
,,,,
7,Tribal Sorcery — Eldrazi,Jason Felix,All Is Dust,Mythic Rare
9,Creature — Eldrazi 10/9,Jason Felix,Artisan of Kozilek,Uncommon
8,Tribal Enchantment — Eldrazi Aura,Jaime Jones,Eldrazi Conscription,Rare
15,Legendary Creature — Eldrazi 15/15,Mark Tedin,"Emrakul, the Aeons Torn",Mythic Rare
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,,,"Avacyn Restored,Dark Ascension,Magic 2012,Graveborn",
,,,,
,"
      145 cards
    ",,,
,,,,
3WWW,Creature — Angel 6/6,Steve Argyle,Admonition Angel,Mythic Rare
2W,Creature — Bird 2/2,David Palumbo,Apex Hawks,Common
